"","mturk_id","trial_type","trial_type_detail","trial_index","block","rt","stimuli","pair1_stimulus1","pair1_stimulus2","pair1_stimulus3","pair2_stimulus1","pair2_stimulus2","pair2_stimulus3","correct_pair","Q0","Q1","url","ts","condition"
"1",10,"html","NULL",0,"NULL","43611","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","consent.html","2014-02-13 15:38:24","four-triple"
"2",10,"text","NULL",0,"NULL","11056","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2014-02-13 15:38:24","four-triple"
"3",10,"vsl-animate-occlusion","sequence",0,"13","NULL","[""img/12.gif"",""img/7.gif"",""img/4.gif"",""img/5.gif"",""img/2.gif"",""img/6.gif"",""img/9.gif"",""img/1.gif"",""img/3.gif"",""img/10.gif"",""img/11.gif"",""img/8.gif"",""img/9.gif"",""img/1.gif"",""img/3.gif"",""img/10.gif"",""img/11.gif"",""img/8.gif"",""img/5.gif"",""img/2.gif"",""img/6.gif"",""img/12.gif"",""img/7.gif"",""img/4.gif"",""img/10.gif"",""img/11.gif"",""img/8.gif"",""img/9.gif"",""img/1.gif"",""img/3.gif"",""img/12.gif"",""img/7.gif"",""img/4.gif"",""img/5.gif"",""img/2.gif"",""img/6.gif"",""img/12.gif"",""img/7.gif"",""img/4.gif"",""img/10.gif"",""img/11.gif"",""img/8.gif"",""img/5.gif"",""img/2.gif"",""img/6.gif"",""img/9.gif"",""img/1.gif"",""img/3.gif"",""img/5.gif"",""img/2.gif"",""img/6.gif"",""img/10.gif"",""img/11.gif"",""img/8.gif"",""img/12.gif"",""img/7.gif"",""img/4.gif"",""img/9.gif"",""img/1.gif"",""img/3.gif"",""img/12.gif"",""img/7.gif"",""img/4.gif"",""img/9.gif"",""img/1.gif"",""img/3.gif"",""img/5.gif"",""img/2.gif"",""img/6.gif"",""img/10.gif"",""img/11.gif"",""img/8.gif"",""img/5.gif"",""img/2.gif"",""img/6.gif"",""img/10.gif"",""img/11.gif"",""img/8.gif"",""img/9.gif"",""img/1.gif"",""img/3.gif"",""img/12.gif"",""img/7.gif"",""img/4.gif"",""img/9.gif"",""img/1.gif"",""img/3.gif"",""img/12.gif"",""img/7.gif"",""img/4.gif"",""img/5.gif"",""img/2.gif"",""img/6.gif"",""img/10.gif"",""img/11.gif"",""img/8.gif"",""img/9.gif"",""img/1.gif"",""img/3.gif"",""img/12.gif"",""img/7.gif"",""img/4.gif"",""img/5.gif"",""img/2.gif"",""img/6.gif"",""img/10.gif"",""img/11.gif"",""img/8.gif"",""img/12.gif"",""img/7.gif"",""img/4.gif"",""img/5.gif"",""img/2.gif"",""img/6.gif"",""img/10.gif"",""img/11.gif"",""img/8.gif"",""img/9.gif"",""img/1.gif"",""img/3.gif"",""img/12.gif"",""img/7.gif"",""img/4.gif"",""img/10.gif"",""img/11.gif"",""img/8.gif"",""img/5.gif"",""img/2.gif"",""img/6.gif"",""img/9.gif"",""img/1.gif"",""img/3.gif"",""img/10.gif"",""img/11.gif"",""img/8.gif"",""img/12.gif"",""img/7.gif"",""img/4.gif"",""img/5.gif"",""img/2.gif"",""img/6.gif"",""img/9.gif"",""img/1.gif"",""img/3.gif"",""img/5.gif"",""img/2.gif"",""img/6.gif"",""img/9.gif"",""img/1.gif"",""img/3.gif"",""img/10.gif"",""img/11.gif"",""img/8.gif"",""img/12.gif"",""img/7.gif"",""img/4.gif"",""img/10.gif"",""img/11.gif"",""img/8.gif"",""img/5.gif"",""img/2.gif"",""img/6.gif"",""img/9.gif"",""img/1.gif"",""img/3.gif"",""img/12.gif"",""img/7.gif"",""img/4.gif"",""img/5.gif"",""img/2.gif"",""img/6.gif"",""img/10.gif"",""img/11.gif"",""img/8.gif"",""img/12.gif"",""img/7.gif"",""img/4.gif"",""img/9.gif"",""img/1.gif"",""img/3.gif"",""img/12.gif"",""img/7.gif"",""img/4.gif"",""img/5.gif"",""img/2.gif"",""img/6.gif"",""img/10.gif"",""img/11.gif"",""img/8.gif"",""img/9.gif"",""img/1.gif"",""img/3.gif"",""img/12.gif"",""img/7.gif"",""img/4.gif"",""img/5.gif"",""img/2.gif"",""img/6.gif"",""img/10.gif"",""img/11.gif"",""img/8.gif"",""img/9.gif"",""img/1.gif"",""img/3.gif"",""img/5.gif"",""img/2.gif"",""img/6.gif"",""img/10.gif"",""img/11.gif"",""img/8.gif"",""img/12.gif"",""img/7.gif"",""img/4.gif"",""img/9.gif"",""img/1.gif"",""img/3.gif"",""img/10.gif"",""img/11.gif"",""img/8.gif"",""img/9.gif"",""img/1.gif"",""img/3.gif"",""img/12.gif"",""img/7.gif"",""img/4.gif"",""img/5.gif"",""img/2.gif"",""img/6.gif"",""img/12.gif"",""img/7.gif"",""img/4.gif"",""img/10.gif"",""img/11.gif"",""img/8.gif"",""img/9.gif"",""img/1.gif"",""img/3.gif"",""img/5.gif"",""img/2.gif"",""img/6.gif"",""img/12.gif"",""img/7.gif"",""img/4.gif"",""img/5.gif"",""img/2.gif"",""img/6.gif"",""img/10.gif"",""img/11.gif"",""img/8.gif"",""img/9.gif"",""img/1.gif"",""img/3.gif"",""img/10.gif"",""img/11.gif"",""img/8.gif"",""img/9.gif"",""img/1.gif"",""img/3.gif"",""img/12.gif"",""img/7.gif"",""img/4.gif"",""img/5.gif"",""img/2.gif"",""img/6.gif"",""img/12.gif"",""img/7.gif"",""img/4.gif"",""img/5.gif"",""img/2.gif"",""img/6.gif"",""img/9.gif"",""img/1.gif"",""img/3.gif"",""img/10.gif"",""img/11.gif"",""img/8.gif"",""img/9.gif"",""img/1.gif"",""img/3.gif"",""img/12.gif"",""img/7.gif"",""img/4.gif"",""img/10.gif"",""img/11.gif"",""img/8.gif"",""img/5.gif"",""img/2.gif"",""img/6.gif""]","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2014-02-13 15:38:24","four-triple"
"4",10,"text","NULL",0,"NULL","8642","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2014-02-13 15:38:24","four-triple"
"5",10,"vsl-animate-occlusion","NULL",0,"NULL","NULL","[""img/10.gif"",""img/11.gif"",""img/8.gif""]","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2014-02-13 15:38:24","four-triple"
"6",10,"vsl-animate-occlusion","NULL",0,"NULL","NULL","[""img/12.gif"",""img/1.gif"",""img/8.gif""]","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2014-02-13 15:38:24","four-triple"
"7",10,"survey-likert","test",0,"0","7428","NULL","img/10.gif","img/11.gif","img/8.gif","img/12.gif","img/1.gif","img/8.gif","first","1","5","NULL","2014-02-13 15:38:24","four-triple"
"8",10,"vsl-animate-occlusion","NULL",0,"NULL","NULL","[""img/5.gif"",""img/2.gif"",""img/6.gif""]","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2014-02-13 15:38:24","four-triple"
"9",10,"vsl-animate-occlusion","NULL",0,"NULL","NULL","[""img/9.gif"",""img/11.gif"",""img/6.gif""]","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2014-02-13 15:38:24","four-triple"
"10",10,"survey-likert","test",0,"1","5222","NULL","img/5.gif","img/2.gif","img/6.gif","img/9.gif","img/11.gif","img/6.gif","first","1","6","NULL","2014-02-13 15:38:24","four-triple"
