"","subject","cond","NIW","REH.HER","YAD.DAY","TUC.CUT","FALSE.POSITIVES"
"26",98,"unknown",1,1,0,1,0
"67",217,"one",0,0,0,0,0
"76",208,"unknown",0,0,1,0,1
"78",74,"one",1,0,0,0,1
"84",203,"unknown",0,0,0,1,0
"88",43,"unknown",0,1,1,1,0
"91",218,"one",1,0,0,0,1
"96",220,"unknown",0,0,0,0,0
"107",19,"known",1,1,1,1,0
"133",163,"one",0,0,0,0,0
"134",141,"unknown",1,1,1,1,0
"136",204,"unknown",0,0,0,0,1
"138",215,"unknown",0,1,0,0,0
"147",159,"known",0,0,0,0,0
"154",240,"unknown",0,0,1,1,0
"166",250,"known",0,1,1,1,0
"201",123,"unknown",1,1,1,1,0
"206",239,"known",0,0,0,1,0
"210",245,"unknown",0,1,0,0,1
"214",139,"one",0,0,0,0,1
"231",68,"unknown",0,1,0,0,0
"238",22,"one",0,0,1,0,0
"245",224,"one",1,1,1,1,0
"257",161,"unknown",0,0,0,0,0
"259",29,"unknown",0,1,0,0,1
