subject,cond,NIW,REH/HER,YAD/DAY,TUC/CUT,FALSE POSITIVES
120,unknown,,,,,1
148,unknown,,1,,,1
55,known,,,,,1
230,one,1,,,,
246,unknown,,,,,
11,known,,,,,1
172,one,,,,,
153,known,1,,1,1,
40,unknown,,,,,
144,known,,,1,,
113,one,,,,,
116,one,,,,,1
39,known,1,1,1,1,
235,unknown,,,,,
107,known,,,,,1
50,unknown,,,,,1
190,one,,,,,1
61,known,1,1,1,1,
111,unknown,,1,,1,
85,known,1,1,1,1,
60,known,,,,,1
134,known,,,,,1
47,known,1,,1,1,
58,one,,,,,
67,one,,,,,
98,unknown,1,1,,1,1
45,one,,,,,1
136,unknown,,,,,1
95,known,,1,1,1,
156,unknown,,,,,
232,known,,,,,
193,one,,,,,1
84,one,1,,,,
66,one,,,,,
137,known,1,1,1,1,
192,unknown,,,,,
8,unknown,,,,,1
126,unknown,,,,,
70,known,1,1,1,1,
9,unknown,,,,,
82,known,1,1,1,1,
168,known,1,1,1,1,
252,unknown,,,,,1
127,unknown,,,,,1
109,one,,,,,
202,known,1,1,1,1,
130,unknown,,,,,
37,unknown,1,1,,1,
174,one,,,,,1
149,unknown,,,,,1
226,known,,1,1,1,
231,unknown,1,1,1,1,
24,one,,,,,
178,unknown,,,,,1
135,unknown,,,,,
35,unknown,,,,,
185,one,,,,,
32,unknown,,,,,
88,known,,,,,1
64,one,,,,,1
86,unknown,,,,,1
26,one,,,,,1
1,one,,,,,1
162,known,,,1,1,
15,known,,,,,1
81,unknown,,,,,1
217,one,,,,,1
213,known,,,,,
102,one,,,,,1
94,one,,,,,1
158,known,1,1,1,1,
183,unknown,1,,1,,
140,known,,1,1,1,
176,one,,,,,1
171,one,,,,,1
208,unknown,,,,,1
216,one,,,,,
74,one,1,,,,
209,known,1,1,1,1,
34,one,,,,,1
46,known,1,1,1,1,
200,unknown,,,,,1
154,one,,,,,
203,unknown,,,,1,1
150,one,,,,,1
188,known,1,1,1,1,
115,one,,,,,1
43,unknown,,1,1,1,1
129,known,1,1,1,1,
169,unknown,,,,,1
218,one,1,,,,
108,one,,,,,
234,one,,,,,
89,one,,,,,1
184,known,1,1,1,1,
220,unknown,,,,,1
80,one,,,,,1
87,known,1,1,1,1,
77,one,,,,,1
105,unknown,,,,,1
196,unknown,,,,,1
221,unknown,1,1,1,1,
206,known,1,,1,1,
21,known,1,1,1,1,
36,known,1,1,1,1,
164,one,,,,,
19,known,1,1,1,,
160,known,,,,,1
18,one,,,,,1
222,one,,,,,
6,one,,,,,
165,one,,,,,1
48,unknown,,,,,1
38,known,1,1,1,1,
247,one,,,,,1
189,unknown,1,,,1,
152,one,,,,,1
180,known,,,,,
97,unknown,,,,,
110,known,,,,,1
145,unknown,1,1,1,1,
54,known,1,1,1,1,
181,known,1,1,1,1,
214,one,,,,,
128,known,,,,,1
93,known,,,,,1
75,one,,,,,
173,one,,,,,1
238,one,,,,,1
170,one,1,,,,
199,known,1,1,1,1,
179,unknown,,,,,
163,one,,,,,1
141,unknown,,,,,1
33,known,1,1,1,1,
204,unknown,,,,,
197,one,,,,,1
215,unknown,,,,,1
143,unknown,,,,,1
253,one,1,,,,
177,known,1,1,1,1,
62,known,,,,,1
175,one,,,,,1
146,unknown,,,,,
14,one,,,,,
142,one,,,,,1
159,known,,,,,1
211,unknown,,,1,,1
195,one,,,,,1
198,one,,,,,
78,one,,,,,1
124,one,,,,,
112,unknown,,,1,,1
240,unknown,,,1,1,1
65,known,,,,,
79,unknown,,,,,
241,unknown,,,,,1
166,unknown,,,,,1
223,unknown,,1,,,1
104,unknown,,,,,1
76,unknown,,,,,
187,one,,,,,1
194,one,,,,,
228,unknown,1,1,1,1,
219,one,,,,,
250,known,,1,1,1,1
41,known,1,1,1,1,
167,known,1,1,1,1,
59,unknown,,,,,
92,unknown,,,,,
20,unknown,,,,,
248,unknown,1,1,1,1,
191,unknown,,,,,1
249,one,,,,,1
133,one,,,,,
237,known,1,1,1,1,
73,known,1,1,1,1,
205,unknown,1,1,1,1,
138,one,,,,,
151,known,1,1,1,1,
72,unknown,,,,,1
49,unknown,,,,,
52,one,,,,,1
122,unknown,,,,,1
233,known,,,,,1
31,one,,,,,
27,unknown,,,,,1
227,unknown,,,,,1
125,unknown,1,1,1,1,
57,known,1,1,1,1,
210,known,1,1,1,1,
16,unknown,,,,,
96,one,,,,,
131,unknown,,,,,1
256,known,1,1,1,1,
7,known,,,,,1
53,one,,,,,
3,unknown,,,,,
5,known,,,,,
28,one,1,,,,
123,unknown,,,,,1
12,unknown,1,1,1,1,
155,unknown,,,,,1
242,one,,,,,1
243,one,,,,,
239,known,,,,1,1
101,known,,,1,1,
118,unknown,,,,1,
56,unknown,,,,,1
245,unknown,,,,,1
23,one,,,,,
236,known,1,,1,1,
25,known,1,1,1,1,
139,one,1,,,,
225,one,,,,,1
207,unknown,,,,,1
251,unknown,,,,,1
99,known,1,1,1,1,
103,one,,,,,
17,one,,,,,
10,known,1,1,1,1,
51,unknown,1,1,1,1,
100,unknown,,1,1,1,
212,one,,,,,1
157,unknown,1,1,1,1,
244,one,,,,,
91,known,,1,1,1,
132,known,,,,,1
30,unknown,,,,,1
44,known,,,,,1
68,unknown,,1,,,1
186,unknown,1,1,1,1,
42,known,1,1,,1,
13,known,,,,,1
69,known,,1,1,1,
90,unknown,,,,,1
83,known,,,,,
22,one,,,,,1
254,one,,,,,1
255,unknown,,,,,1
2,unknown,,,,,
4,unknown,,,,,
63,one,,,,,
259,one,,,,,
224,one,1,,,,
201,unknown,,,,,1
117,unknown,,,,,
121,unknown,,,,,
119,unknown,1,1,1,1,
114,one,,,,,
229,known,1,1,1,1,
257,known,,,,,
182,unknown,1,1,1,1,
258,unknown,,,,,
147,known,,,1,,1
106,one,,,,,
161,unknown,,,,,1
71,known,1,1,1,1,
29,unknown,,,,,1
