subject,cond,NIW,REH.HER,YAD.DAY,TUC.CUT,FALSE.POSITIVES
98,unknown,1,1,0,1,1
217,one,0,0,0,0,1
208,unknown,0,0,1,0,1
74,one,1,0,0,0,1
203,unknown,0,0,0,1,1
43,unknown,0,0,0,0,1
218,one,1,0,0,0,1
220,unknown,0,0,0,0,0
19,known,1,1,1,0,0
163,one,0,0,0,0,0
141,unknown,1,1,1,1,0
204,unknown,0,0,0,0,0
215,unknown,0,1,0,0,0
159,known,0,0,0,0,1
240,unknown,0,0,1,1,1
250,known,0,1,1,1,1
123,unknown,1,1,1,1,1
239,known,0,0,0,1,1
245,unknown,1,1,0,0,1
139,one,1,0,0,0,1
68,unknown,0,1,0,0,0
22,one,0,0,0,0,1
224,one,1,0,0,0,1
161,unknown,0,0,0,0,0
29,unknown,0,1,0,0,1
