subject,cond,NIW,REH/HER,YAD/DAY,TUC/CUT,FALSE POSITIVES
112,one,,,,,1
66,unknown,,,,,
52,known,,,,,
119,unknown,,,,,
7,known,1,1,1,1,
20,one,1,,,,
19,known,1,1,1,1,
138,one,,,,,
57,one,,,,,1
55,unknown,,,,,1
134,one,,,,,
15,known,,,,,
51,known,,,,,1
27,known,,,,,
129,unknown,,,,,
108,known,,1,1,,
137,known,,,,,1
45,unknown,,,,,
96,unknown,,,,,1
39,unknown,,,,,1
101,unknown,,,,,
116,one,,,,,
122,one,,,,,1
113,known,,,1,,1
125,one,,,,,
130,unknown,,1,,1,1
35,known,,,,,1
6,one,,,,,
37,unknown,,,,,
38,known,,,,,
105,one,,,,,
42,one,,,,,
81,known,,,,,1
25,unknown,,,,,
49,unknown,,,,,1
69,unknown,,,,,1
65,one,,,,,
140,one,,,,,
43,unknown,,,,,1
95,one,,,,,
111,unknown,,,,,1
117,known,,,,,
68,known,,,,,
54,one,,,,,
131,known,1,1,1,1,
56,one,,,,,
127,one,,,,,
128,unknown,,1,,1,1
18,known,,,,,
36,known,,,,,1
22,known,1,,,1,
118,one,,,,,
33,known,,,,,1
114,unknown,,,,,1
124,unknown,,,,,
104,one,,,,,
79,unknown,,,,,1
103,one,,,,,1
44,unknown,,,,,
53,unknown,,,,,
62,unknown,,,,,1
72,unknown,,,,,
23,known,1,1,1,1,
26,unknown,,,,,1
98,one,,,,,1
136,one,,,,,
12,one,,,,,1
135,one,,,,,1
121,unknown,,,,,1
139,known,,,,,1
11,known,,,,,
110,unknown,,,,,1
34,one,,,,,1
107,known,,1,1,,
47,unknown,,,1,1,
28,known,1,,,1,1
132,one,,,,,1
123,unknown,,,,,1
24,one,,,,,
100,one,,,,,
99,known,,1,1,1,
5,one,,,,,1
77,known,,,,,1
70,known,,,,,
29,known,,,1,,
40,unknown,,,,,1
97,one,,,,,
41,unknown,,,,,1
17,one,1,,,,
31,one,,,,,
75,one,,,,,
32,unknown,,,,,
76,unknown,,,,,
78,known,1,1,1,1,
82,known,,,,,
91,known,,1,,1,
90,unknown,,,,,
84,one,,,,,
102,unknown,,,,,1
92,known,,1,,1,
93,known,,,,,1
3,known,1,1,,,
16,unknown,,,,,1
133,unknown,,,,,1
64,known,,,,,
141,unknown,,,,,1
120,known,1,1,1,1,
58,unknown,,,,,
4,unknown,,,,,1
61,unknown,,,,,
126,one,,,,,1
8,one,,,,,
94,one,,,,,1
109,one,,,,,
1,known,,,,,1
30,one,,,,,1
88,unknown,,,,,
14,known,,1,1,,
74,unknown,,,,,
59,unknown,,,,,1
71,known,,1,1,1,1
73,one,,,,,1
142,known,,,,,
48,one,,,,,
9,one,,,,,
50,one,,,,,
106,known,,,,,
115,unknown,,,,,1
21,one,,,,,
67,unknown,,,,,1
46,one,,,,,
80,known,,,,,1
85,unknown,,,,,1
13,one,,,,,
83,one,,,,,1
63,known,,,,,
87,known,,,,,1
2,one,,,,,
60,one,,,,,1
10,known,1,1,1,1,1
86,unknown,,,,,1
89,one,,,,,
